TERM DESCRIPTION,TERM,SESSION,SESSION DESCRIPTION,DEPARTMENT,SUBJECT,COURSE,Course+Subject,CLASS/SECTION NBR,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,PERCENT MAJORS,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WX,I,R,P,S,NY,NR,NC,OTHER,EFFECTIVE DATE
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-R,640,CEUS-R640,25268,ADV READNGS IN HUNGARN STUDIES,"Atwood,Christopher P",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-R,650,CEUS-R650,25270,ADV READNGS IN IRANIAN STUDIES,"Atwood,Christopher P",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-R,650,CEUS-R650,24591,ADV READNGS IN IRANIAN STUDIES,"Atwood,Christopher P",2,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-R,660,CEUS-R660,25272,ADV READNGS IN MONGOLN STUDIES,"Atwood,Christopher P",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-R,661,CEUS-R661,29852,MONGOLIAN LIT AND FOLKLORE,"Kara,Gyorgy",6,6,4,3.958,100,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/18/2013
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-R,690,CEUS-R690,25275,ADV RDGS CENTRL EURASN STUDIES,"Atwood,Christopher P",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-R,691,CEUS-R691,16368,CEUS MA THESIS RESEARCH,"Atwood,Christopher P",0,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-R,691,CEUS-R691,15477,CEUS MA THESIS RESEARCH,"Atwood,Christopher P",1,7,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-R,711,CEUS-R711,30685,COMP STY C ASIA & M EAST,"Shahrani,M. Nazif",6,6,3.95,3.732,66.7,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-R,760,CEUS-R760,27883,SEMINAR IN MONGOLIAN STUDIES,"Atwood,Christopher P",5,6,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-R,771,CEUS-R771,29317,INTR CHINSE SRCS TIBTN STUDIES,"Sperling,Elliot H.",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-R,890,CEUS-R890,16369,PHD THESIS,"Atwood,Christopher P",1,6,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-R,890,CEUS-R890,23881,PHD THESIS,"Atwood,Christopher P",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-R,890,CEUS-R890,15478,PHD THESIS,"Atwood,Christopher P",0,9,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,101,CEUS-T101,16340,INTRODUCTORY FINNISH I,"Taurama,Mikko",6,7,3.05,2.606,0,0,2,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,102,CEUS-T102,15444,INTRODUCTORY FINNISH II,"Taurama,Mikko",5,5,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,103,CEUS-T103,16339,INTRODUCTORY ESTONIAN I,"Kivik,Piibi-Kai",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,104,CEUS-T104,15443,INTRODUCTORY ESTONIAN II,"Kivik,Piibi-Kai",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,112,CEUS-T112,30099,INTRODUCTORY UZBEK II,"Hodjaev,Malik",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,141,CEUS-T141,16341,INTRODUCTORY HUNGARIAN I,"Varga,Valeria Eniko",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,142,CEUS-T142,15445,INTRODUCTORY HUNGARIAN II,"Varga,Valeria Eniko",4,4,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,151,CEUS-T151,27286,INTRODUCTORY PERSIAN I,"Daneshgar,Shahyar",17,17,3.635,3.303,0,4,3,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,152,CEUS-T152,27464,INTRODUCTORY PERSIAN II,"Daneshgar,Shahyar",3,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,152,CEUS-T152,15450,INTRODUCTORY PERSIAN II,"Fazel,Solaiman",7,7,3.529,2.986,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,154,CEUS-T154,24569,INTRODUCTORY PASHTO II,"Inomkhojayev,Rakhmon",2,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,154,CEUS-T154,24573,INTRODUCTORY PASHTO II,"Inomkhojayev,Rakhmon",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,161,CEUS-T161,16342,INTRODUCTORY MONGOLIAN I,"Legden,Tserenchunt",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,162,CEUS-T162,15446,INTRODUCTORY MONGOLIAN II,"Legden,Tserenchunt",1,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,171,CEUS-T171,16343,INTRODUCTORY TIBETAN I,"Rabsal,Gedun",4,5,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,172,CEUS-T172,15447,INTRODUCTORY TIBETAN II,"Rabsal,Gedun",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,181,CEUS-T181,16344,INTRODUCTORY TURKISH I,"Ozcelik,Oner",12,14,3.2,2.957,0,1,2,3,1,2,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,182,CEUS-T182,15448,INTRODUCTORY TURKISH II,"Ozcelik,Oner",7,8,3.714,3.35,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,201,CEUS-T201,16348,INTERMEDIATE FINNISH I,"Taurama,Mikko",5,5,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,202,CEUS-T202,15451,INTERMEDIATE FINNISH II,"Taurama,Mikko",3,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,203,CEUS-T203,16347,INTERMEDIATE ESTONIAN I,"Kivik,Piibi-Kai",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,211,CEUS-T211,23144,INTERMEDIATE UZBEK I,"Hodjaev,Malik",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,214,CEUS-T214,30134,INTERMEDIATE KAZAKH II,"Ziyabekova,Dana Sarsenbaevna",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,241,CEUS-T241,16349,INTERMEDIATE HUNGARIAN I,"Varga,Valeria Eniko",2,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,242,CEUS-T242,15452,INTERMEDIATE HUNGARIAN II,"Varga,Valeria Eniko",7,8,3.486,3.173,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,251,CEUS-T251,16354,INTERMEDIATE PERSIAN I,"Daneshgar,Shahyar",9,9,3.556,3.1,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,252,CEUS-T252,15457,INTERMEDIATE PERSIAN II,"Daneshgar,Shahyar",3,5,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,254,CEUS-T254,24571,INTERMEDIATE PASHTO II,"Inomkhojayev,Rakhmon",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,262,CEUS-T262,15453,INTERMEDIATE MONGOLIAN II,"Legden,Tserenchunt",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,271,CEUS-T271,16351,INTERMEDIATE TIBETAN I,"Sperling,Elliot H.",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,281,CEUS-T281,16352,INTERMEDIATE TURKISH I,"Ariogul,Sibel",2,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,282,CEUS-T282,15455,INTERMEDIATE TURKISH II,"Jones,Defne Louise",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,301,CEUS-T301,25255,ADVANCED FINNISH I,"Taurama,Mikko",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,304,CEUS-T304,27455,ADVANCED ESTONIAN II,"Kivik,Piibi-Kai",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,341,CEUS-T341,25256,ADVANCED HUNGARIAN I,"Varga,Valeria Eniko",5,5,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,342,CEUS-T342,24567,ADVANCED HUNGARIAN II,"Varga,Valeria Eniko",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,351,CEUS-T351,25232,ADVANCED PERSIAN I,"Losensky,Paul Edward",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,361,CEUS-T361,25257,ADVANCED MONGOLIAN I,"Legden,Tserenchunt",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,362,CEUS-T362,24568,ADVANCED MONGOLIAN II,"Legden,Tserenchunt",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,372,CEUS-T372,24579,ADVANCED TIBETAN II,"Rabsal,Gedun",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,381,CEUS-T381,25235,ADVANCED TURKISH I,"Elbasan,Zeynep",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,382,CEUS-T382,24580,ADVANCED TURKISH II,"Elbasan,Zeynep",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,NON,Non Standard Session,CEUS,CEUS-T,398,CEUS-T398,34190,ADV CENTRAL EURASIAN LANG I,"Adilkhanova,Begaim Rakhymovna",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,398,CEUS-T398,26185,ADV CENTRAL EURASIAN LANG I,"Arman,Rahman",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,398,CEUS-T398,36261,ADV CENTRAL EURASIAN LANG I,"Harding,Cigdem Balim",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,398,CEUS-T398,32881,ADV CENTRAL EURASIAN LANG I,"Nazarova,Gulnisa",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,399,CEUS-T399,27111,ADV CENTRAL EURASIAN LANG II,"Arman,Rahman",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,399,CEUS-T399,32110,ADV CENTRAL EURASIAN LANG II,"Arman,Rahman",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,399,CEUS-T399,30149,ADV CENTRAL EURASIAN LANG II,"Legden,Tserenchunt",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,485,CEUS-T485,30694,MEDIA TURKISH I,"Silay,Kemal",3,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,501,CEUS-T501,16356,INTRODUCTORY FINNISH I,"Taurama,Mikko",3,3,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,502,CEUS-T502,15459,INTRODUCTORY FINNISH II,"Taurama,Mikko",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,511,CEUS-T511,16358,INTRODUCTORY UZBEK I,"Hodjaev,Malik",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,512,CEUS-T512,15462,INTRODUCTORY UZBEK II,"Hodjaev,Malik",2,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,512,CEUS-T512,30151,INTRODUCTORY UZBEK II,"Hodjaev,Malik",0,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,531,CEUS-T531,22000,INTRODUCTORY UYGHUR I,"Nazarova,Gulnisa",1,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,532,CEUS-T532,27123,INTRODUCTORY UYGHUR II,"Niyaz,Kurban",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,541,CEUS-T541,16355,INTRODUCTORY HUNGARIAN I,"Varga,Valeria Eniko",1,2,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,551,CEUS-T551,25228,INTRODUCTORY PERSIAN I,"Daneshgar,Shahyar",8,8,3.963,3.85,12.5,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/18/2013
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,552,CEUS-T552,24576,INTRODUCTORY PERSIAN II,"Daneshgar,Shahyar",7,7,3.957,3.768,28.6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2012
Spring 2012,4122,1,Regular Academic Session,CEUS,CEUS-T,552,CEUS-T552,30152,INTRODUCTORY PERSIAN II,"Fazel,Solaiman",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/8/2012
Fall 2012,4128,1,Regular Academic Session,CEUS,CEUS-T,553,CEUS-T553,25225,INTRODUCTORY PASHTO I,"Inomkhojayev,Rakhmon",1,1,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/18/2013
