days_since_install,all_organic_move,all_organic_size,all_pac_move,all_pac_size,gross_rev_move
356,,,,,0.0126451309307
357,,,,,0.0126451309307
358,,,,,0.0141681702136
359,,,,,0.0141681702136
360,,,,,0.0141681702136
361,,,,,0.0141681702136
362,,,,,0.0141681702136
363,,,,,0.0141681702136
364,,,,,0.0141681702136
365,,,,,0.0141681702136
366,,,,,0.0141681702136
